"id","type","default_code","name","classifier1/id","description"
"product_ECXU51","service","ECXU51","EXPRESS WORLDWIDE (eu)","export_vettura_dhl.classifier1_dhl","Spedizioni verso nazioni facente parte della CE.
Servizio standard solo per le nazioni CE."
"product_DOXD42","service","DOXD42","EXPRESS WORLDWIDE (doc)","export_vettura_dhl.classifier1_dhl","Spedizioni verso nazioni extra CE senza sdoganamento.
La merce non deve essere soggetta a dazio quindi sono generalmente documenti. "
"product_WPXP48","service","WPXP48","EXPRESS WORLDWIDE (non doc)","export_vettura_dhl.classifier1_dhl","Spedizioni verso nazioni extra CE con sdoganamento.
Sono qui comprese tutte le spedizioni extra CE che richiedono il passaggio in dogana per la gestione delle procedure di importazione."
"product_DOMN46","service","DOMN46","DOMESTIC EXPRESS","export_vettura_dhl.classifier1_dhl","Spedizioni nazionali.
Servizio standard per spedizioni nazionali."
"product_TDKK45","service","TDKK45","EXPRESS 9:00","export_vettura_dhl.classifier1_dhl","Spedizioni nazionali ed estere con consegna entro le 9.
Va verificato che il CAP destino sia coperto da questo servizio."
"product_TDLL22","service","TDLL22","EXPRESS 10:00","export_vettura_dhl.classifier1_dhl","Spedizioni nazionali consegnate entro le 10.
Va verificato che il CAP destino sia coperto da questo servizio."
"product_TDTT50","service","TDTT50","EXPRESS 12:00","export_vettura_dhl.classifier1_dhl","Spedizioni nazionali ed estere con consegna entro le 12.
Va verificato che il CAP destino sia coperto da questo servizio."
"product_ESUW40","service","ESUW40","ECONOMY SELECT (eu)","export_vettura_dhl.classifier1_dhl","Spedizioni camionistiche verso nazioni facente parte della CE.
Servizio camionistico solo per le nazioni CE."
"product_ESIH57","service","ESIH57","ECONOMY SELECT (non doc)","export_vettura_dhl.classifier1_dhl","Spedizioni camionistiche verso nazioni extra CE con sdoganamento.
Sono qui comprese tutte le spedizioni camionistiche extra CE che richiedono il passaggio in dogana per la gestione delle procedure di importazione."
"product_BBXB30","service","BBXB30","BREAK BULK","export_vettura_dhl.classifier1_dhl","Spedizioni verso nazioni extra CE con sdoganamento da importatore.
Sono qui comprese tutte le spedizioni extra CE in cui le procedure di sdoganamento sono eseguite da un importatore."
